Region,Year,Gender,ICD-10_Cause,ICD-10_Code,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year
Census Region 1: Northeast,2001.0,Female,Malignant neoplasms of kidney and renal pelvis (C64-C65),GR113-034,,,,0.4,1.7,,5.2,12.6,17.6,20.3,
Census Region 1: Northeast,2001.0,Female,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,,,,,0.9,,2.8,5.3,8.4,17.7,
Census Region 1: Northeast,2001.0,Female,Malignant neoplasms of liver and intrahepatic bile ducts (C22),GR113-024,,,,0.4,1.8,,5.3,10.8,20.2,27.0,
Census Region 1: Northeast,2001.0,Female,"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",GR113-037,,1.4,2.1,3.2,7.8,,22.2,58.5,115.2,178.0,
Census Region 1: Northeast,2001.0,Female,"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)",GR113-036,,,0.6,1.2,3.5,0.7,6.4,12.4,16.1,13.4,
Census Region 1: Northeast,2001.0,Female,"Malignant neoplasms of trachea, bronchus and lung (C33-C34)",GR113-027,,,,6.3,26.0,,90.1,191.3,262.8,220.1,
Census Region 1: Northeast,2001.0,Female,Malnutrition (E40-E46),GR113-048,,,,,,,,1.1,5.8,30.1,
Census Region 1: Northeast,2001.0,Female,"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",GR113-114,1.8,9.1,4.8,4.9,5.1,1.5,5.2,8.3,15.2,15.5,
Census Region 1: Northeast,2001.0,Female,"Multiple myeloma and immunoproliferative neoplasms (C88,C90)",GR113-041,,,,,1.1,,5.2,14.5,25.1,31.9,
Census Region 1: Northeast,2001.0,Female,Non-Hodgkin lymphoma (C82-C85),GR113-039,,,0.6,1.3,2.8,,9.3,23.3,50.1,77.8,
Census Region 1: Northeast,2001.0,Female,"Nontransport accidents (W00-X59,Y86)",GR113-117,3.6,3.0,4.1,8.5,7.0,1.2,6.8,15.6,55.4,202.7,
Census Region 1: Northeast,2001.0,Female,Other acute ischemic heart diseases (I24),GR113-060,,,,,,,,2.1,5.1,16.8,
Census Region 1: Northeast,2001.0,Female,"Other acute lower respiratory infections (J20-J22,U04)",GR113-079,,,,,,,,,,3.9,
Census Region 1: Northeast,2001.0,Female,"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)",GR113-133,,0.7,1.6,2.5,1.7,,,,,,
Census Region 1: Northeast,2001.0,Female,"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)",GR113-018,,,,,1.1,,2.2,4.8,9.2,19.6,
Census Region 1: Northeast,2001.0,Female,"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)",GR113-123,,0.6,,1.0,1.7,,2.8,6.7,25.2,114.7,
Census Region 1: Northeast,2001.0,Female,Other chronic liver disease and cirrhosis (K73-K74),GR113-095,,,,1.7,3.7,,7.1,14.7,23.2,19.9,
Census Region 1: Northeast,2001.0,Female,"Other chronic lower respiratory diseases (J44,J47)",GR113-086,,,,0.5,4.3,,23.8,100.7,239.2,453.9,
Census Region 1: Northeast,2001.0,Female,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,,,0.9,0.5,,,,,,,
Census Region 1: Northeast,2001.0,Female,"Other diseases of arteries, arterioles and capillaries (I72-I78)",GR113-074,,,,,0.6,,2.5,8.1,21.9,78.3,
Census Region 1: Northeast,2001.0,Female,Other diseases of circulatory system (I71-I78),GR113-072,,,,0.8,1.2,,5.0,18.7,55.4,143.6,
Census Region 1: Northeast,2001.0,Female,"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)",GR113-089,,,0.6,1.3,2.7,,6.9,24.0,63.9,151.3,
Census Region 1: Northeast,2001.0,Female,Other disorders of circulatory system (I80-I99),GR113-075,,,,0.7,0.8,,1.9,4.5,8.3,27.7,
Census Region 1: Northeast,2001.0,Female,"Other forms of chronic ischemic heart disease (I20,I25)",GR113-061,,,,4.0,15.3,,58.6,212.6,730.0,3210.2,
Census Region 1: Northeast,2001.0,Female,Other heart diseases (I26-I51),GR113-064,,1.6,3.5,6.3,12.8,,31.5,94.6,330.2,1449.5,9.6
Census Region 1: Northeast,2001.0,Female,Pneumonia (J12-J18),GR113-078,,,1.0,1.7,3.4,,8.4,28.6,118.4,651.4,
Census Region 1: Northeast,2001.0,Female,Renal failure (N17-N19),GR113-100,,,,1.5,3.5,,11.7,35.4,96.8,266.3,
Census Region 1: Northeast,2001.0,Female,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR113-110,,1.6,2.3,4.9,6.0,0.6,5.4,8.6,27.6,141.1,58.7
Census Region 1: Northeast,2001.0,Female,"Transport accidents (V01-V99,Y85)",GR113-113,2.4,9.9,5.5,5.8,6.4,1.8,6.5,9.7,16.7,16.7,
Census Region 1: Northeast,2001.0,Female,"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)",GR113-116,,,0.6,0.7,1.0,,0.8,,,,
Census Region 1: Northeast,2001.0,Male,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",GR113-112,8.7,42.7,38.2,42.3,38.9,5.7,33.2,44.7,114.6,316.2,16.1
Census Region 1: Northeast,2001.0,Male,#Alzheimer disease (G30),GR113-052,,,,,,,1.6,13.5,101.3,436.4,
Census Region 1: Northeast,2001.0,Male,#Anemias (D50-D64),GR113-045,,,0.6,,0.5,,0.9,3.0,9.8,40.3,
Census Region 1: Northeast,2001.0,Male,#Aortic aneurysm and dissection (I71),GR113-073,,,0.6,1.1,2.3,,7.4,28.4,63.8,122.8,
Census Region 1: Northeast,2001.0,Male,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,1.7,20.3,31.1,24.6,16.7,0.5,9.3,4.0,2.9,,6.0
Census Region 1: Northeast,2001.0,Male,#Atherosclerosis (I70),GR113-071,,,,,,,1.5,7.4,25.2,125.8,
Census Region 1: Northeast,2001.0,Male,#Cerebrovascular diseases (I60-I69),GR113-070,,,1.3,4.8,13.5,,32.8,121.3,387.0,1170.6,
Census Region 1: Northeast,2001.0,Male,#Certain conditions originating in the perinatal period (P00-P96),GR113-108,,,,,,,,,,,376.5
Census Region 1: Northeast,2001.0,Male,#Cholelithiasis and other disorders of gallbladder (K80-K82),GR113-096,,,,,,,0.9,2.0,8.0,23.9,
Census Region 1: Northeast,2001.0,Male,"#Chronic liver disease and cirrhosis (K70,K73-K74)",GR113-093,,,0.9,7.5,22.1,,26.6,36.4,37.0,36.6,
Census Region 1: Northeast,2001.0,Male,#Chronic lower respiratory diseases (J40-J47),GR113-082,,,1.0,1.8,7.0,,35.6,155.3,391.8,845.9,
Census Region 1: Northeast,2001.0,Male,"#Complications of medical and surgical care (Y40-Y84,Y88)",GR113-135,,,,0.6,0.7,,1.8,3.0,8.6,14.2,
Census Region 1: Northeast,2001.0,Male,"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",GR113-109,2.6,1.2,1.2,1.4,1.7,0.7,2.0,1.9,3.6,,101.7
Census Region 1: Northeast,2001.0,Male,#Diabetes mellitus (E10-E14),GR113-046,,,1.7,4.7,15.6,,38.2,93.9,186.1,351.6,
Census Region 1: Northeast,2001.0,Male,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",GR113-054,1.7,2.9,9.6,36.7,121.6,0.5,328.0,854.0,2292.1,6731.8,10.6
Census Region 1: Northeast,2001.0,Male,#Enterocolitis due to Clostridium difficile (A04.7),GR113-136,,,,,,,,1.5,5.9,14.9,
Census Region 1: Northeast,2001.0,Male,"#Essential hypertension and hypertensive renal disease (I10,I12,I15)",GR113-069,,,,1.0,2.9,,7.5,16.5,45.2,140.0,
Census Region 1: Northeast,2001.0,Male,#Hernia (K40-K46),GR113-092,,,,,,,,,3.7,11.6,
Census Region 1: Northeast,2001.0,Male,#Human immunodeficiency virus (HIV) disease (B20-B24),GR113-016,,,6.6,22.5,26.0,,14.1,4.9,,,
Census Region 1: Northeast,2001.0,Male,#Hyperplasia of prostate (N40),GR113-103,,,,,,,,,2.5,18.7,
Census Region 1: Northeast,2001.0,Male,"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",GR113-044,,,,1.1,1.9,,6.5,17.1,48.2,107.1,
Census Region 1: Northeast,2001.0,Male,#Influenza and pneumonia (J09-J18),GR113-076,,,1.1,1.9,5.7,,13.6,46.1,190.2,834.3,7.8
Census Region 1: Northeast,2001.0,Male,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,,12.7,16.5,17.5,17.8,0.8,15.9,16.3,23.3,31.0,
Census Region 1: Northeast,2001.0,Male,#Malignant neoplasms (C00-C97),GR113-019,2.6,4.0,10.2,30.4,125.0,2.6,391.5,958.5,1733.7,2752.6,
Census Region 1: Northeast,2001.0,Male,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",GR113-097,,,,1.8,5.1,,14.6,51.2,153.8,449.1,
Census Region 1: Northeast,2001.0,Male,#Nutritional deficiencies (E40-E64),GR113-047,,,,,,,,1.9,6.7,26.9,
Census Region 1: Northeast,2001.0,Male,#Parkinson disease (G20-G21),GR113-051,,,,,,,1.5,15.6,87.4,213.5,
Census Region 1: Northeast,2001.0,Male,#Peptic ulcer (K25-K28),GR113-090,,,,,0.9,,2.2,4.0,10.9,29.1,
Census Region 1: Northeast,2001.0,Male,"#Pneumoconioses and chemical effects (J60-J66,J68)",GR113-087,,,,,,,,3.6,14.2,40.7,
Census Region 1: Northeast,2001.0,Male,#Pneumonitis due to solids and liquids (J69),GR113-088,,,,0.5,1.0,,2.9,14.1,69.2,275.5,
Census Region 1: Northeast,2001.0,Male,#Septicemia (A40-A41),GR113-010,,,0.8,2.0,6.5,,15.6,48.7,130.2,298.6,8.9
Census Region 1: Northeast,2001.0,Male,#Viral hepatitis (B15-B19),GR113-015,,,,1.9,7.9,,5.5,4.2,4.8,,
Census Region 1: Northeast,2001.0,Male,Accidental drowning and submersion (W65-W74),GR113-120,2.2,1.6,0.8,1.1,0.9,0.7,0.9,,,,
Census Region 1: Northeast,2001.0,Male,"Accidental exposure to smoke, fire and flames (X00-X09)",GR113-121,,,0.6,1.1,1.1,0.7,1.5,2.4,3.1,7.5,
Census Region 1: Northeast,2001.0,Male,Accidental poisoning and exposure to noxious substances (X40-X49),GR113-122,,6.5,11.6,17.8,13.8,,4.3,1.7,,,
Census Region 1: Northeast,2001.0,Male,Acute and subacute endocarditis (I33),GR113-065,,,,,,,,1.6,4.3,,
Census Region 1: Northeast,2001.0,Male,Acute myocardial infarction (I21-I22),GR113-059,,,1.2,8.1,35.7,,99.8,247.9,604.1,1516.3,
Census Region 1: Northeast,2001.0,Male,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),GR113-055,,,,,,,1.2,2.9,7.5,11.2,
Census Region 1: Northeast,2001.0,Male,Alcoholic liver disease (K70),GR113-094,,,0.6,4.1,10.6,,12.4,11.9,7.6,,
Census Region 1: Northeast,2001.0,Male,"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)",GR113-043,,1.5,2.2,4.5,15.9,0.8,44.5,101.6,187.1,318.0,
Census Region 1: Northeast,2001.0,Male,All other diseases (Residual) ,GR113-111,3.9,4.6,7.7,20.4,42.1,1.7,69.5,139.9,387.4,1223.3,26.2
Census Region 1: Northeast,2001.0,Male,"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)",GR113-063,,,1.5,8.2,29.9,,102.5,328.9,986.4,3068.4,
Census Region 1: Northeast,2001.0,Male,"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)",GR113-068,,2.0,5.0,10.0,21.7,,46.7,115.8,299.1,856.7,9.2
Census Region 1: Northeast,2001.0,Male,"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)",GR113-128,,15.1,11.4,3.8,1.9,,1.0,,,,
Census Region 1: Northeast,2001.0,Male,"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)",GR113-129,1.7,5.2,19.7,20.9,14.8,,8.3,3.3,2.1,,6.0
Census Region 1: Northeast,2001.0,Male,Asthma (J45-J46),GR113-085,,,0.9,1.0,1.4,,1.4,2.4,3.0,,
Census Region 1: Northeast,2001.0,Male,"Atherosclerotic cardiovascular disease, so described (I25.0)",GR113-062,,,0.9,5.7,22.0,,53.7,98.1,191.6,489.4,
Census Region 1: Northeast,2001.0,Male,"Bronchitis, chronic and unspecified (J40-J42)",GR113-083,,,,,,,,,1.9,11.6,
Census Region 1: Northeast,2001.0,Male,"Certain other intestinal infections (A04,A07-A09)",GR113-003,,,,,,,,1.8,6.1,15.7,
Census Region 1: Northeast,2001.0,Male,Emphysema (J43),GR113-084,,,,,1.3,,5.9,22.6,50.0,92.2,
Census Region 1: Northeast,2001.0,Male,"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)",GR113-131,,2.1,4.4,6.4,5.0,,1.9,,,,
Census Region 1: Northeast,2001.0,Male,Falls (W00-W19),GR113-118,,1.4,1.6,2.3,3.9,,6.0,11.3,36.8,118.0,
Census Region 1: Northeast,2001.0,Male,Heart failure (I50),GR113-067,,,,0.6,2.3,,8.3,35.5,150.9,630.1,
Census Region 1: Northeast,2001.0,Male,Hodgkin disease (C81),GR113-038,,,,0.6,0.6,,,1.7,2.7,,
Census Region 1: Northeast,2001.0,Male,Hypertensive heart and renal disease (I13),GR113-057,,,,,,,0.9,1.4,4.5,19.0,
Census Region 1: Northeast,2001.0,Male,Hypertensive heart disease (I11),GR113-056,,,,2.9,7.5,,11.6,18.0,36.0,109.7,
Census Region 1: Northeast,2001.0,Male,Intentional self-harm (suicide) by discharge of firearms (X72-X74),GR113-125,,5.7,6.8,6.5,8.1,,9.2,9.4,14.6,17.9,
Census Region 1: Northeast,2001.0,Male,"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)",GR113-126,,7.0,9.7,11.0,9.7,0.7,6.7,6.9,8.7,13.1,
Census Region 1: Northeast,2001.0,Male,Ischemic heart diseases (I20-I25),GR113-058,,,3.6,22.2,88.5,,258.3,677.9,1788.9,5098.7,
Census Region 1: Northeast,2001.0,Male,Leukemia (C91-C95),GR113-040,,1.0,1.6,1.8,4.4,0.8,13.0,32.7,69.2,112.0,
Census Region 1: Northeast,2001.0,Male,Major cardiovascular diseases (I00-I78),GR113-053,2.2,3.7,12.0,44.1,141.6,0.8,380.9,1037.0,2841.7,8370.2,14.1
Census Region 1: Northeast,2001.0,Male,Malignant melanoma of skin (C43),GR113-028,,,,1.6,3.7,,7.5,14.0,23.6,29.1,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasm of bladder (C67),GR113-035,,,,,2.1,,8.9,29.7,68.3,160.9,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasm of breast (C50),GR113-029,,,,,,,,1.4,2.9,,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasm of esophagus (C15),GR113-021,,,,1.1,7.0,,17.3,40.1,48.3,50.0,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasm of larynx (C32),GR113-026,,,,,1.7,,6.1,11.0,15.3,19.4,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasm of pancreas (C25),GR113-025,,,,1.5,7.7,,23.7,50.3,85.2,115.0,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasm of prostate (C61),GR113-033,,,,,1.9,,17.2,83.6,256.2,691.3,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasm of stomach (C16),GR113-022,,,,1.0,4.3,,10.6,23.5,52.2,82.9,
Census Region 1: Northeast,2001.0,Male,"Malignant neoplasms of colon, rectum and anus (C18-C21)",GR113-023,,,0.9,3.0,10.8,,40.0,100.8,183.0,335.2,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasms of kidney and renal pelvis (C64-C65),GR113-034,,,,0.7,4.2,,11.8,23.3,37.6,48.5,
Census Region 1: Northeast,2001.0,Male,"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)",GR113-020,,,,0.8,4.4,,11.7,15.6,20.7,28.4,
Census Region 1: Northeast,2001.0,Male,Malignant neoplasms of liver and intrahepatic bile ducts (C22),GR113-024,,,,1.4,7.3,,14.0,26.4,39.5,57.9,
Census Region 1: Northeast,2001.0,Male,"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)",GR113-037,,1.8,3.4,5.2,13.2,0.9,36.0,91.5,182.8,268.0,
Census Region 1: Northeast,2001.0,Male,"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)",GR113-036,,,1.1,2.2,5.1,0.8,10.8,16.9,25.3,18.3,
Census Region 1: Northeast,2001.0,Male,"Malignant neoplasms of trachea, bronchus and lung (C33-C34)",GR113-027,,,,6.7,35.5,,130.8,328.8,505.7,525.6,
Census Region 1: Northeast,2001.0,Male,Malnutrition (E40-E46),GR113-048,,,,,,,,1.7,6.0,26.1,
Census Region 1: Northeast,2001.0,Male,"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)",GR113-114,2.0,28.5,18.3,13.7,11.4,2.5,11.1,14.5,30.1,39.2,
Census Region 1: Northeast,2001.0,Male,"Multiple myeloma and immunoproliferative neoplasms (C88,C90)",GR113-041,,,,0.5,2.1,,7.0,19.6,38.3,56.0,
Census Region 1: Northeast,2001.0,Male,Non-Hodgkin lymphoma (C82-C85),GR113-039,,,1.3,2.4,6.1,,15.2,37.2,72.6,96.7,
Census Region 1: Northeast,2001.0,Male,"Nontransport accidents (W00-X59,Y86)",GR113-117,5.8,12.7,17.8,26.3,24.6,2.7,19.9,27.5,81.0,275.1,13.5
Census Region 1: Northeast,2001.0,Male,Other acute ischemic heart diseases (I24),GR113-060,,,,,0.8,,2.3,3.0,6.8,24.6,
Census Region 1: Northeast,2001.0,Male,"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)",GR113-133,,2.0,4.3,6.3,4.9,,1.8,,,,
Census Region 1: Northeast,2001.0,Male,"Other and unspecified infectious and parasitic diseases and their sequelae (A00,A05,A20-A36,A42-A44,A48-A49,A54-A79,A81-A82,A85.0-A85.1,A85.8,A86-B04,B06-B09,B25-B49,B55-B99)",GR113-018,,,,0.9,1.7,,3.2,6.9,14.3,24.6,
Census Region 1: Northeast,2001.0,Male,"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)",GR113-123,,2.4,2.8,3.8,4.7,0.8,7.0,10.8,37.6,141.8,10.3
Census Region 1: Northeast,2001.0,Male,Other chronic liver disease and cirrhosis (K73-K74),GR113-095,,,,3.4,11.5,,14.3,24.5,29.4,31.7,
Census Region 1: Northeast,2001.0,Male,"Other chronic lower respiratory diseases (J44,J47)",GR113-086,,,,0.6,4.2,,28.1,129.4,336.9,735.4,
Census Region 1: Northeast,2001.0,Male,"Other diseases of arteries, arterioles and capillaries (I72-I78)",GR113-074,,,,,0.9,,3.8,9.5,28.5,79.1,
Census Region 1: Northeast,2001.0,Male,Other diseases of circulatory system (I71-I78),GR113-072,,,0.8,1.4,3.2,,11.1,37.9,92.2,201.9,
Census Region 1: Northeast,2001.0,Male,"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)",GR113-089,,,,1.2,3.5,,8.9,34.4,88.6,189.3,7.8
Census Region 1: Northeast,2001.0,Male,Other disorders of circulatory system (I80-I99),GR113-075,,,,0.8,1.6,,2.1,5.5,8.1,23.1,
Census Region 1: Northeast,2001.0,Male,"Other forms of chronic ischemic heart disease (I20,I25)",GR113-061,,,2.4,13.9,51.9,,156.1,427.0,1178.0,3557.8,
Census Region 1: Northeast,2001.0,Male,Other heart diseases (I26-I51),GR113-064,1.6,2.3,5.4,11.1,24.8,,56.1,153.8,455.3,1493.1,9.8
Census Region 1: Northeast,2001.0,Male,"Other land transport accidents (V01,V05-V06,V09.1,V09.3-V09.9,V10-V11,V15-V18,V19.3,V19.8-V19.9,V80.0-V80.2,V80.6-V80.9,V81.2-V81.9,V82.2-V82.9,V87.9,V88.9,V89.1,V89.3,V89.9)",GR113-115,,0.8,0.9,0.9,1.4,,,1.4,1.9,,
Census Region 1: Northeast,2001.0,Male,Pneumonia (J12-J18),GR113-078,,,1.1,1.8,5.7,,13.5,46.1,190.0,833.2,7.8
Census Region 1: Northeast,2001.0,Male,Renal failure (N17-N19),GR113-100,,,,1.7,5.0,,14.5,50.5,152.0,444.2,
Census Region 1: Northeast,2001.0,Male,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",GR113-110,2.1,3.3,5.6,9.9,11.3,0.5,10.7,15.6,36.0,115.7,79.0
Census Region 1: Northeast,2001.0,Male,"Transport accidents (V01-V99,Y85)",GR113-113,2.8,30.0,20.4,15.9,14.2,2.9,13.3,17.3,33.6,41.1,
Census Region 1: Northeast,2001.0,Male,"Water, air and space, and other and unspecified transport accidents and their sequelae (V90-V99,Y85)",GR113-116,,0.6,1.1,1.4,1.4,,1.5,1.3,,,
Census Region 1: Northeast,2002.0,Female,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",GR113-112,4.4,14.3,10.4,15.0,12.4,2.8,12.7,24.6,69.4,208.3,8.6
Census Region 1: Northeast,2002.0,Female,#Alzheimer disease (G30),GR113-052,,,,,,,1.7,14.2,121.4,659.0,
Census Region 1: Northeast,2002.0,Female,#Anemias (D50-D64),GR113-045,,,,0.5,0.7,,0.9,2.6,8.7,45.1,
Census Region 1: Northeast,2002.0,Female,#Aortic aneurysm and dissection (I71),GR113-073,,,,,0.7,,2.6,11.0,33.1,58.9,
Census Region 1: Northeast,2002.0,Female,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,,2.5,3.0,2.4,1.8,0.6,1.2,,,,
Census Region 1: Northeast,2002.0,Female,#Atherosclerosis (I70),GR113-071,,,,,,,0.9,3.9,22.6,139.7,
Census Region 1: Northeast,2002.0,Female,#Cerebrovascular diseases (I60-I69),GR113-070,,,1.1,4.9,10.1,,24.4,85.0,336.5,1251.0,
Census Region 1: Northeast,2002.0,Female,#Certain conditions originating in the perinatal period (P00-P96),GR113-108,,,,,,,,,,,324.7
Census Region 1: Northeast,2002.0,Female,#Cholelithiasis and other disorders of gallbladder (K80-K82),GR113-096,,,,,,,,1.7,5.0,22.8,
Census Region 1: Northeast,2002.0,Female,"#Chronic liver disease and cirrhosis (K70,K73-K74)",GR113-093,,,,3.1,7.5,,11.0,19.2,26.9,19.0,
Census Region 1: Northeast,2002.0,Female,#Chronic lower respiratory diseases (J40-J47),GR113-082,,,0.6,2.1,6.8,,30.7,116.3,282.9,524.5,
Census Region 1: Northeast,2002.0,Female,"#Complications of medical and surgical care (Y40-Y84,Y88)",GR113-135,,,,,0.8,,1.2,2.7,6.9,11.1,
Census Region 1: Northeast,2002.0,Female,"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",GR113-109,2.4,0.8,0.9,1.2,1.6,0.9,2.4,2.2,3.5,6.0,103.8
Census Region 1: Northeast,2002.0,Female,#Diabetes mellitus (E10-E14),GR113-046,,,0.8,2.8,8.4,,25.8,73.1,146.2,289.3,
Census Region 1: Northeast,2002.0,Female,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",GR113-054,,1.5,4.0,14.0,42.5,,133.1,446.5,1434.4,6106.5,9.2
Census Region 1: Northeast,2002.0,Female,#Enterocolitis due to Clostridium difficile (A04.7),GR113-136,,,,,,,,1.7,5.9,20.2,
Census Region 1: Northeast,2002.0,Female,"#Essential hypertension and hypertensive renal disease (I10,I12,I15)",GR113-069,,,,,1.7,,4.0,12.3,41.7,168.4,
Census Region 1: Northeast,2002.0,Female,#Hernia (K40-K46),GR113-092,,,,,,,,,4.1,15.5,
Census Region 1: Northeast,2002.0,Female,#Human immunodeficiency virus (HIV) disease (B20-B24),GR113-016,,0.6,4.1,11.9,9.3,,3.2,1.0,,,
Census Region 1: Northeast,2002.0,Female,"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",GR113-044,,,,0.7,1.7,,4.6,10.7,27.7,72.9,
Census Region 1: Northeast,2002.0,Female,"#Infections of kidney (N10-N12,N13.6,N15.1)",GR113-102,,,,,,,,,1.2,,
Census Region 1: Northeast,2002.0,Female,#Influenza and pneumonia (J09-J18),GR113-076,,,0.8,2.0,3.6,,8.5,29.0,131.7,689.3,
Census Region 1: Northeast,2002.0,Female,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,,2.7,3.3,3.9,5.4,,3.0,2.8,2.9,3.0,
Census Region 1: Northeast,2002.0,Female,#Malignant neoplasms (C00-C97),GR113-019,2.2,3.2,9.8,39.0,122.1,2.3,309.3,656.6,1084.4,1497.0,
Census Region 1: Northeast,2002.0,Female,"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",GR113-097,,,0.6,1.4,3.6,,11.0,34.6,97.3,284.4,
Census Region 1: Northeast,2002.0,Female,#Nutritional deficiencies (E40-E64),GR113-047,,,,,,,,1.3,6.2,31.9,
Census Region 1: Northeast,2002.0,Female,#Parkinson disease (G20-G21),GR113-051,,,,,,,0.7,5.7,36.5,89.7,
Census Region 1: Northeast,2002.0,Female,#Peptic ulcer (K25-K28),GR113-090,,,,,,,0.9,2.6,6.0,24.3,
Census Region 1: Northeast,2002.0,Female,#Pneumonitis due to solids and liquids (J69),GR113-088,,,,,0.5,,2.2,6.9,34.1,160.9,
Census Region 1: Northeast,2002.0,Female,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,,,0.7,,,,,,,,
Census Region 1: Northeast,2002.0,Female,#Septicemia (A40-A41),GR113-010,,,0.6,1.9,5.0,,12.9,37.3,97.0,260.6,
Census Region 1: Northeast,2002.0,Female,#Viral hepatitis (B15-B19),GR113-015,,,,0.7,2.7,,2.3,3.1,3.5,,
Census Region 1: Northeast,2002.0,Female,"Accidental exposure to smoke, fire and flames (X00-X09)",GR113-121,,,,,,,0.8,1.4,3.0,3.9,
Census Region 1: Northeast,2002.0,Female,Accidental poisoning and exposure to noxious substances (X40-X49),GR113-122,,2.0,3.9,7.0,5.0,,1.5,1.2,1.3,3.4,
Census Region 1: Northeast,2002.0,Female,Acute and subacute endocarditis (I33),GR113-065,,,,,,,,1.1,2.9,,
Census Region 1: Northeast,2002.0,Female,Acute myocardial infarction (I21-I22),GR113-059,,,,2.6,10.2,,37.7,120.8,357.8,1216.9,
Census Region 1: Northeast,2002.0,Female,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),GR113-055,,,,,,,1.7,3.7,11.6,20.1,
Census Region 1: Northeast,2002.0,Female,Alcoholic liver disease (K70),GR113-094,,,,2.0,3.7,,3.8,2.7,2.4,,
